"","x"
"1","PITX2"
"2","SLC26A2"
"3","TMEM233"
"4","KRT20"
"5","KLK11"
"6","GPC3"
"7","RGS4"
"8","TUBB2B"
"9","BATF3"
"10","CRYM"
"11","SERPINF1"
"12","LINC01088"
"13","TSHZ2"
"14","HEATR5A"
"15","TRPM4"
"16","TTC39A"
"17","ASRGL1"
"18","LARP6"
"19","SNHG25"
"20","ARHGAP5-AS1"
"21","ARHGAP5"
"22","GCNT3"
"23","FCGBP"
"24","SNX6"
"25","CTSF"
"26","HES6"
"27","COCH"
"28","TBC1D17"
"29","FAM177A1"
"30","SPTSSA"
"31","COX7C"
"32","IFI16"
"33","EAPP"
"34","NFKBIA"
"35","SRP54"
"36","CAMK2B"
"37","PPP2R3C"
"38","RPS21"
"39","SSR4"
"40","NDUFS5"
"41","ATP5E"
"42","BAZ1A"
"43","SPINK1"
"44","CPE"
"45","GLUL"
"46","HINT1"
"47","MPC2"
"48","STRN3"
"49","MTHFD2"
"50","MRPS36"
"51","SCFD1"
"52","CHCHD10"
"53","IGFBP2"
"54","MRPL41"
"55","HECTD1"
"56","LAGE3"
"57","CEACAM5"
"58","TESC"
"59","NAA10"
"60","UQCR11"
"61","USMG5"
"62","UQCRQ"
"63","CXCL14"
"64","COX5A"
"65","MSMB"
"66","RPS4Y1"
"67","RGS16"
"68","HIGD2A"
"69","UQCRH"
"70","TMC5"
"71","ATP1B1"
"72","CCDC190"
"73","ISG15"
"74","CAPN1"
"75","PIGR"
"76","EGLN3"
