"","x"
"1","MGST1"
"2","RPS20"
"3","RPL30"
"4","RPL7"
"5","AGR3"
"6","PABPC1"
"7","NPC2"
"8","SLPI"
"9","HLA-DRA"
"10","MT1E"
"11","CD74"
"12","EEF1D"
"13","CSTB"
"14","MAL2"
"15","TPT1"
"16","LMO7"
"17","IGKC"
"18","C3"
"19","RPL8"
"20","SFTPD"
"21","DMKN"
"22","S100A9"
"23","CD47"
"24","SFTA2"
"25","CYB5A"
"26","SLC34A2"
"27","RPS12"
"28","CLU"
"29","S100A10"
"30","B2M"
"31","SERPINA1"
"32","SFTA1P"
"33","HSD17B11"
"34","ASPH"
"35","AHR"
"36","HLA-DPA1"
"37","PON2"
"38","HLA-DRB5"
"39","C8orf4"
"40","AQP1"
"41","SFTPC"
"42","IRX3"
"43","NDRG1"
"44","IRX2"
"45","WSB1"
"46","CYR61"
"47","HLA-DMA"
"48","MALL"
"49","ATP11A"
"50","ZFAS1"
"51","IGLC2"
"52","NGFRAP1"
"53","TSPAN13"
"54","IFT57"
"55","TACSTD2"
"56","SCGB3A2"
"57","BCAM"
"58","S100A4"
"59","IGHA1"
"60","SFTA3"
"61","TNFRSF12A"
"62","HOPX"
